a52dec 0.8.0-2
mate-settings-daemon 1.28.0-2
mate-system-monitor 1.28.1-2
mate-terminal 1.28.1-2
mate-themes 3.22.26-2
mate-user-guide 1.28.0-2
mate-utils 1.28.0-2
mathjax2 2.7.9-2
mc 4.8.32-1
mcomix 3.1.0-2
md4c 0.5.2-1
mdadm 4.3-2
mdadm-openrc 20210505-2
media-player-info 26-1
meld 3.22.2-3
memtest86+ 7.00-1
mesa 1:24.2.3-1
mesa-demos 9.0.0-4
mesa-utils 9.0.0-4
mesa-vdpau 1:24.2.3-1
metalog 20230719-2
metalog-openrc 20210505-2
miniupnpc 2.2.8-1
minizip 1:1.3.1-2
mjpegtools 2.2.1-2
mkinitcpio 39.2-2
mkinitcpio-busybox 1.36.1-1
mkinitcpio-openswap 0.1.0-4
mlt 7.28.0-1
mobile-broadband-provider-info 20240407-1
modem-manager-gui 0.0.20-3
modemmanager 1.22.0-1
moodbar 1.2-1
mousepad 0.6.2-4
movit 1.7.1-2
mozo 1.28.0-3
mpdecimal 4.0.0-2
mpfr 4.2.1-4
mpg123 1.32.7-1
mpv 1:0.39.0-1
mtdev 1.1.7-1
mujs 1.3.5-1
mypaint-brushes1 1.3.1-2
nano 8.2-1
nbd 3.26.1-1
ncurses 6.5-3
neon 0.33.0-1
net-snmp 5.9.4-5
net-tools 2.10-2
netifrc 0.7.8-1
nettle 3.10-1
nfs-utils 2.7.1-1
nfs-utils-openrc 20210505-2
nfsidmap 2.7.1-1
nftables 1:1.1.0-2
npth 1.7-1
nspr 4.35-3
nss 3.104-1
nss-myhostname 0.3-5
ntfs-3g 2022.10.3-1
numactl 2.0.18-1
ocl-icd 2.3.2-2
onetbb 2021.13.0-1
openal 1.23.1-2
opencore-amr 0.1.6-2
opencv 4.10.0-9
openexr 3.2.4-1
openh264 2.4.1-1
openjpeg2 2.5.2-1
openntpd 6.8p1-8
openntpd-openrc 20210505-3
openrc 0.54-1
openrc-settingsd 1.4.0-2
openscenegraph 3.6.5-24
openssh 9.9p1-1
openssh-openrc 20210505-1
openssl 3.3.2-1
opus 1.5.2-1
orc 0.4.40-1
os-prober 1.81-2
osdlyrics 0.5.15-3
oxygen 6.1.5-1
p11-kit 0.25.5-1
p7zip 1:17.05-2
p8-platform 2.1.0.1-5
package-query 1.12.2-1.2
pacman 7.0.0.r3.g7736133-1
pacman-contrib 1.10.6-2
pacutils 0.14.0-3
pahole 1:1.27-2
pam 1.6.1-3
pamac 11.7.1-1
